norm_name,raw_name,sources,source_count,ida_ny,ida_oh,nursing_home,charter_school,faith_hospital,oge_trade,fara,capitol_trade,water_epa,opioid,hrsa_340b,opioid_vendor,fara_principal,dol_whd,nih_exporter,osha,msha,cfpb,sam_gov,usaspending
AMMO COMPANY,AMMO COMPANY,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMOS ESPINOZA,AMOS ESPINOZA,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMP,AMP,osha|usaspending,2,,,,,,,,,,,,,,,,Y,,,,Y
AMP INDUSTRIES,AMP INDUSTRIES,sam_gov|water_epa,2,,,,,,,,,Y,,,,,,,,,,Y,
AMPAC FINE CHEMICALS,AMPAC FINE CHEMICALS LLC,dol_whd|water_epa,2,,,,,,,,,Y,,,,,Y,,,,,,
AMPCO CONTRACTING,AMPCO CONTRACTING,dol_whd|sam_gov,2,,,,,,,,,,,,,,Y,,,,,Y,
AMPCO SYSTEM PARKING,AMPCO SYSTEM PARKING,dol_whd|osha,2,,,,,,,,,,,,,,Y,,Y,,,,
AMPCUS,AMPCUS,dol_whd|usaspending,2,,,,,,,,,,,,,,Y,,,,,,Y
AMPEX DATA SYSTEMS,AMPEX DATA SYSTEMS,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMPHENOL BORISCH TECHNOLOGIES,AMPHENOL BORISCH TECHNOLOGIES,dol_whd|usaspending,2,,,,,,,,,,,,,,Y,,,,,,Y
AMPI,AMPI,dol_whd|osha,2,,,,,,,,,,,,,,Y,,Y,,,,
AMPLIFYBIO,AMPLIFYBIO,ida_oh|sam_gov,2,,Y,,,,,,,,,,,,,,,,,Y,
AMREP,AMREP,dol_whd|osha,2,,,,,,,,,,,,,,Y,,Y,,,,
AMRESCO,AMRESCO,dol_whd|ida_oh,2,,Y,,,,,,,,,,,,Y,,,,,,
AMS,AMS,dol_whd|usaspending,2,,,,,,,,,,,,,,Y,,,,,,Y
AMS INDUSTRIAL,AMS INDUSTRIAL,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMS LASER SERVICES,AMS LASER SERVICES,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMS RHEA JV,AMS RHEA JV,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMSPEC,AMSPEC LLC,osha|water_epa,2,,,,,,,,,Y,,,,,,,Y,,,,
AMT,AMT,osha|usaspending,2,,,,,,,,,,,,,,,,Y,,,,Y
AMTECH,AMTECH,dol_whd|osha,2,,,,,,,,,,,,,,Y,,Y,,,,
AMTEX PRECISION FABRICATION,AMTEX PRECISION FABRICATION,dol_whd|osha,2,,,,,,,,,,,,,,Y,,Y,,,,
AMTORG TRADING,Amtorg Trading Corporation,fara|fara_principal,2,,,,,,,Y,,,,,,Y,,,,,,,
AMTRAK,AMTRAK,dol_whd|osha,2,,,,,,,,,,,,,,Y,,Y,,,,
AMUNEAL MANUFACTURING,AMUNEAL MANUFACTURING CORP,sam_gov|water_epa,2,,,,,,,,,Y,,,,,,,,,,Y,
AMY D ZAVECZ,AMY D ZAVECZ,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMY S KITCHEN,"Amy's Kitchen, Inc.",ida_ny|osha,2,Y,,,,,,,,,,,,,,,Y,,,,
AMZ ALABAMA,AMZ ALABAMA,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
ANA ISABEL CARMONA CHAVES,ANA ISABEL CARMONA CHAVES,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
ANACAPA MICRO PRODUCTS,ANACAPA MICRO PRODUCTS,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
ANACONDA,ANACONDA,nih_exporter|usaspending,2,,,,,,,,,,,,,,,Y,,,,,Y
ANADARKO PETROLEUM,ANADARKO PETROLEUM,dol_whd|sam_gov,2,,,,,,,,,,,,,,Y,,,,,Y,
ANALEX,ANALEX,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
ANALOG DEVICES,"Analog Devices, Inc.",capitol_trade|oge_trade,2,,,,,,Y,,Y,,,,,,,,,,,,
ANALYGENCE,ANALYGENCE,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
ANALYSWIFT,ANALYSWIFT,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
ANALYTIC ACQUISITIONS,ANALYTIC ACQUISITIONS,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
ANALYTICAL SCIENTIFIC INSTRUMENTS US,ANALYTICAL SCIENTIFIC INSTRUMENTS US,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
ANALYTICAL SERVICES,ANALYTICAL SERVICES,dol_whd|usaspending,2,,,,,,,,,,,,,,Y,,,,,,Y
ANALYZE,ANALYZE,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
ANAMET ELECTRICAL,ANAMET ELECTRICAL INC,dol_whd|water_epa,2,,,,,,,,,Y,,,,,Y,,,,,,
ANAREN MICROWAVE,"Anaren Microwave, Inc.",ida_ny|osha,2,Y,,,,,,,,,,,,,,,Y,,,,
ANASPHERE,ANASPHERE,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
ANATECH ELECTRONICS,ANATECH ELECTRONICS,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
ANATEK,ANATEK,dol_whd|osha,2,,,,,,,,,,,,,,Y,,Y,,,,
ANATOLE CONSTRUCTION COMPANY,ANATOLE CONSTRUCTION COMPANY,dol_whd|osha,2,,,,,,,,,,,,,,Y,,Y,,,,
ANC GROUP,ANC GROUP,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
ANCHOR CONSTRUCTION,ANCHOR CONSTRUCTION,dol_whd|osha,2,,,,,,,,,,,,,,Y,,Y,,,,
ANCHOR ELECTRIC SERVICES,ANCHOR ELECTRIC SERVICES,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
ANCHOR GLASS,Anchor Glass,dol_whd|ida_ny,2,Y,,,,,,,,,,,,,Y,,,,,,
ANCHOR INDUSTRIES,ANCHOR INDUSTRIES,osha|usaspending,2,,,,,,,,,,,,,,,,Y,,,,Y
ANCHOR INN,ANCHOR INN,dol_whd|water_epa,2,,,,,,,,,Y,,,,,Y,,,,,,
ANCHOR INTERNATIONAL LOGISTICS SUPPORT,ANCHOR INTERNATIONAL LOGISTICS SUPPORT,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
ANCHOR LINE,"Anchor Line, Ltd.",fara|fara_principal,2,,,,,,,Y,,,,,,Y,,,,,,,
ANCHOR WOOD FRAMING,ANCHOR WOOD FRAMING,dol_whd|osha,2,,,,,,,,,,,,,,Y,,Y,,,,
ANCHORAGE CHRYSLER CENTER,ANCHORAGE CHRYSLER CENTER,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
ANCHORAGE HOTEL,Anchorage Hotel,dol_whd|fara_principal,2,,,,,,,,,,,,,Y,Y,,,,,,
ANCHORAGE LAKEFRONT PARTNERSHIP,ANCHORAGE LAKEFRONT PARTNERSHIP,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
