facility_name,opcert,ccn,city,is_religious,match_type,confidence,parent_system,denomination,is_sole_county,total_discharges,ob_discharges,csection_count,PGN008_count,FRS005_count,FRS003_count,FRS001_count,PGN008_rate_per1k,FRS005_rate_per1k,FRS003_rate_per1k,FRS001_rate_per1k
The University of Vermont Health Network - Alice Hyde Medical Center,1624000,,,False,,,,,,1270,0,0,0,0,0,0,0.0,0.0,0.0,0.0
The University of Vermont Health Network - Champlain Valley Physicians Hospital,0901001,,,False,,,,,,16106,1314,377,0,0,2,50,0.0,0.0,1.52,3.1
The University of Vermont Health Network - Elizabethtown Community Hospital,1552701,,,False,,,,,,1299,0,0,0,0,0,0,0.0,0.0,0.0,0.0
UPMC Chautauqua at WCA,0602001,,,False,,,,,,12152,1385,487,0,21,8,13,0.0,15.16,5.78,1.07
UPSTATE University Hospital at Community General,3301007,,,False,,,,,,61324,2033,587,0,2,5,55,0.0,0.98,2.46,0.9
United Health Services Hospitals Inc. - Binghamton General Hospital,0303001,,,False,,,,,,33651,3328,1104,0,1,8,42,0.0,0.3,2.4,1.25
United Memorial Medical Center Bank Street Campus,1801000,,,False,,,,,,9924,940,239,0,0,2,14,0.0,0.0,2.13,1.41
University Hospital of Brooklyn,7001037,,,False,,,,,,14454,1426,387,0,1,3,30,0.0,0.7,2.1,2.08
Vassar Brothers Medical Center,1302001,,,False,,,,,,44843,5241,1937,0,4,15,164,0.0,0.76,2.86,3.66
Westfield Memorial Hospital Inc,0632000,,,False,,,,,,262,0,0,0,0,0,0,0.0,0.0,0.0,0.0
White Plains Hospital Center,5902001,,,False,,,,,,46346,4709,1722,0,10,26,165,0.0,2.12,5.52,3.56
Winifred Masterson Burke Rehabilitation Hospital,5902002,,,False,,,,,,5827,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Woodhull Medical & Mental Health Center,7001045,,,False,,,,,,18559,2745,611,0,2,1,74,0.0,0.73,0.36,3.99
Wyckoff Heights Medical Center,7001035,,,False,,,,,,23199,2303,681,0,2,5,48,0.0,0.87,2.17,2.07
Wyoming County Community Hospital,6027000,,,False,,,,,,2540,176,52,0,0,1,5,0.0,0.0,5.68,1.97
MASSENA HOSPITAL,4402701,,,False,,,,,,1060,3,0,0,0,0,0,0.0,0.0,0.0,0.0
THE UNIVERSITY OF VERMONT HEALTH NETWORK - ALICE HYDE MEDICAL CENTER,1624700,,,False,,,,,,390,0,0,0,0,0,0,0.0,0.0,0.0,0.0
WYOMING COUNTY COMMUNITY HOSPITAL,6027700,,,False,,,,,,1248,0,0,0,0,0,0,0.0,0.0,0.0,0.0
