state_code,county_fips,total_apps,originations,denials,denial_rate,denial_rate_white,denial_rate_black,denial_rate_hispanic,disparity_ratio_black,disparity_ratio_hispanic,white_apps,black_apps,hispanic_apps
IL,17085,267,232.0,35.0,0.1311,0.1244,0.5,0.2,4.02,1.61,209.0,2.0,10.0
CO,08037,895,752.0,143.0,0.1598,0.1424,0.5714,0.3299,4.01,2.32,667.0,7.0,97.0
OH,39163,173,127.0,46.0,0.2659,0.25,1.0,,4.0,,144.0,1.0,0.0
MI,26055,1388,1110.0,278.0,0.2003,0.1887,0.75,0.32,3.97,1.7,1118.0,4.0,25.0
VA,51131,272,222.0,50.0,0.1838,0.1307,0.5172,0.5,3.96,3.83,176.0,29.0,6.0
LA,22025,116,80.0,36.0,0.3103,0.2118,0.8333,,3.94,,85.0,18.0,0.0
VA,51735,292,253.0,39.0,0.1336,0.0955,0.375,0.1333,3.93,1.4,199.0,32.0,15.0
VA,51173,440,330.0,110.0,0.25,0.2544,1.0,0.2222,3.93,0.87,401.0,2.0,9.0
VA,51101,309,275.0,34.0,0.11,0.0898,0.35,0.1667,3.9,1.86,245.0,20.0,6.0
IN,18165,235,205.0,30.0,0.1277,0.1286,0.5,0.0,3.89,0.0,210.0,2.0,1.0
CA,06005,590,524.0,66.0,0.1119,0.1292,0.5,0.2045,3.87,1.58,418.0,2.0,44.0
TN,47175,144,107.0,37.0,0.2569,0.2593,1.0,0.0,3.86,0.0,108.0,1.0,1.0
TN,47153,292,213.0,79.0,0.2705,0.2588,1.0,0.5,3.86,1.93,255.0,2.0,12.0
WA,53037,815,710.0,105.0,0.1288,0.1294,0.5,0.125,3.86,0.97,618.0,2.0,24.0
MO,29013,300,259.0,41.0,0.1367,0.1294,0.5,0.2,3.86,1.55,255.0,2.0,5.0
IA,19061,1719,1507.0,212.0,0.1233,0.114,0.44,0.1667,3.86,1.46,1298.0,25.0,30.0
GA,13201,105,71.0,34.0,0.3238,0.1857,0.7143,,3.85,,70.0,28.0,0.0
KS,20005,235,196.0,39.0,0.166,0.1564,0.6,0.5,3.84,3.2,179.0,5.0,4.0
AL,01123,810,568.0,242.0,0.2988,0.1679,0.6429,0.3846,3.83,2.29,542.0,112.0,13.0
OK,40047,850,764.0,86.0,0.1012,0.0982,0.375,0.1348,3.82,1.37,652.0,16.0,89.0
VA,51011,303,230.0,73.0,0.2409,0.16,0.6111,0.1667,3.82,1.04,200.0,36.0,6.0
IN,18033,773,645.0,128.0,0.1656,0.1583,0.6,0.1429,3.79,0.9,695.0,5.0,14.0
NE,31045,88,76.0,12.0,0.1364,0.1324,0.5,,3.78,,68.0,2.0,0.0
SD,46035,238,221.0,17.0,0.0714,0.0663,0.25,0.125,3.77,1.88,196.0,4.0,8.0
AL,01063,102,39.0,63.0,0.6176,0.1875,0.7073,,3.77,,16.0,82.0,0.0
TN,47033,194,149.0,45.0,0.232,0.1677,0.6316,0.1429,3.77,0.85,155.0,19.0,14.0
MD,24047,1761,1522.0,239.0,0.1357,0.108,0.407,0.4103,3.77,3.8,1296.0,86.0,39.0
VA,51640,103,77.0,26.0,0.2524,0.2651,1.0,0.1667,3.77,0.63,83.0,1.0,6.0
VA,51181,111,78.0,33.0,0.2973,0.1579,0.5938,0.6667,3.76,4.22,57.0,32.0,3.0
VA,51760,2915,2607.0,308.0,0.1057,0.0609,0.2289,0.1327,3.76,2.18,1643.0,367.0,196.0
MO,29105,609,449.0,160.0,0.2627,0.266,1.0,0.3846,3.76,1.45,530.0,3.0,13.0
FL,12119,3156,2769.0,387.0,0.1226,0.1107,0.4141,0.2766,3.74,2.5,2574.0,99.0,188.0
NM,35007,236,169.0,67.0,0.2839,0.2674,1.0,0.5111,3.74,1.91,172.0,1.0,45.0
PR,72017,123,105.0,18.0,0.1463,0.1339,0.5,0.1345,3.73,1.0,112.0,2.0,119.0
WI,55109,1417,1280.0,137.0,0.0967,0.0894,0.3333,0.1111,3.73,1.24,1174.0,6.0,18.0
TX,48445,135,80.0,55.0,0.4074,0.2706,1.0,0.4167,3.7,1.54,85.0,2.0,36.0
CO,08119,626,546.0,80.0,0.1278,0.1158,0.4286,0.2381,3.7,2.06,475.0,7.0,21.0
ID,16011,651,562.0,89.0,0.1367,0.135,0.5,0.1754,3.7,1.3,548.0,4.0,57.0
VA,51193,511,424.0,87.0,0.1703,0.0952,0.3511,0.2069,3.69,2.17,315.0,94.0,29.0
MO,29179,80,58.0,22.0,0.275,0.2714,1.0,1.0,3.68,3.68,70.0,1.0,1.0
NY,36099,339,288.0,51.0,0.1504,0.1359,0.5,0.3077,3.68,2.26,287.0,2.0,13.0
MS,28025,260,163.0,97.0,0.3731,0.1556,0.5714,0.6667,3.67,4.29,90.0,119.0,3.0
IA,19085,248,215.0,33.0,0.1331,0.1362,0.5,,3.67,,213.0,2.0,0.0
MO,29219,714,637.0,77.0,0.1078,0.1021,0.375,0.1333,3.67,1.31,607.0,8.0,15.0
AR,05047,272,196.0,76.0,0.2794,0.2731,1.0,0.25,3.66,0.92,238.0,1.0,4.0
NC,37175,539,440.0,99.0,0.1837,0.183,0.6667,0.5714,3.64,3.12,459.0,6.0,7.0
NC,37073,150,116.0,34.0,0.2267,0.1515,0.5517,0.5,3.64,3.3,99.0,29.0,2.0
KS,20001,119,102.0,17.0,0.1429,0.1373,0.5,0.0,3.64,0.0,102.0,4.0,2.0
KY,21069,292,208.0,84.0,0.2877,0.2745,1.0,0.25,3.64,0.91,255.0,2.0,4.0
WV,54029,342,291.0,51.0,0.1491,0.1373,0.5,0.5714,3.64,4.16,306.0,4.0,7.0
IN,18139,227,193.0,34.0,0.1498,0.1379,0.5,0.0,3.63,0.0,203.0,2.0,5.0
SC,45065,187,148.0,39.0,0.2086,0.1655,0.6,0.0,3.63,0.0,145.0,20.0,3.0
GA,13237,501,423.0,78.0,0.1557,0.1236,0.4483,0.1875,3.63,1.52,348.0,58.0,16.0
MN,27103,430,389.0,41.0,0.0953,0.0917,0.3333,0.2188,3.63,2.39,338.0,6.0,32.0
AR,05095,78,41.0,37.0,0.4744,0.1935,0.7,,3.62,,31.0,40.0,0.0
GA,13039,1287,1091.0,196.0,0.1523,0.1143,0.4138,0.1948,3.62,1.7,901.0,145.0,77.0
NC,37147,2866,2252.0,614.0,0.2142,0.112,0.4039,0.1875,3.61,1.67,1411.0,718.0,160.0
OR,41003,754,658.0,96.0,0.1273,0.1109,0.4,0.303,3.61,2.73,559.0,10.0,33.0
AK,02090,1244,1133.0,111.0,0.0892,0.0782,0.2813,0.1385,3.6,1.77,844.0,32.0,65.0
LA,22061,675,486.0,189.0,0.28,0.176,0.6341,0.4375,3.6,2.49,358.0,164.0,16.0
AZ,04023,507,432.0,75.0,0.1479,0.1389,0.5,0.1661,3.6,1.2,432.0,2.0,319.0
GA,13189,256,202.0,54.0,0.2109,0.1366,0.4902,0.3333,3.59,2.44,161.0,51.0,6.0
VA,51199,1124,1023.0,101.0,0.0899,0.0617,0.2212,0.0984,3.59,1.59,697.0,113.0,61.0
LA,22077,344,239.0,105.0,0.3052,0.1716,0.6146,0.1667,3.58,0.97,204.0,96.0,6.0
OK,40021,668,502.0,166.0,0.2485,0.2094,0.75,0.2333,3.58,1.11,339.0,4.0,30.0
AL,01081,3393,2775.0,618.0,0.1821,0.1331,0.476,0.2,3.58,1.5,2096.0,521.0,80.0
VA,51580,54,49.0,5.0,0.0926,0.093,0.3333,,3.58,,43.0,3.0,0.0
MI,26155,984,842.0,142.0,0.1443,0.1404,0.5,0.375,3.56,2.67,869.0,4.0,8.0
IA,19181,1100,1016.0,84.0,0.0764,0.0749,0.2667,0.0526,3.56,0.7,921.0,15.0,38.0
MO,29167,478,411.0,67.0,0.1402,0.1403,0.5,0.25,3.56,1.78,385.0,4.0,4.0
WA,53039,277,235.0,42.0,0.1516,0.1408,0.5,0.1765,3.55,1.25,213.0,2.0,17.0
MS,28011,312,226.0,86.0,0.2756,0.1463,0.5196,0.375,3.55,2.56,164.0,102.0,8.0
WI,55073,1957,1744.0,213.0,0.1088,0.1009,0.3571,0.2,3.54,1.98,1447.0,14.0,40.0
FL,12037,306,239.0,67.0,0.219,0.2119,0.75,0.2,3.54,0.94,236.0,8.0,10.0
LA,22093,372,190.0,182.0,0.4892,0.1957,0.6905,0.2857,3.53,1.46,138.0,210.0,7.0
IA,19033,363,335.0,28.0,0.0771,0.081,0.2857,0.0714,3.53,0.88,284.0,7.0,14.0
PA,42027,1633,1440.0,193.0,0.1182,0.1163,0.4091,0.1667,3.52,1.43,1273.0,22.0,18.0
VT,50007,1912,1743.0,169.0,0.0884,0.0845,0.2963,0.1515,3.51,1.79,1337.0,27.0,33.0
ND,38017,2790,2604.0,186.0,0.0667,0.0598,0.2097,0.2174,3.51,3.63,2090.0,124.0,46.0
VA,51075,480,423.0,57.0,0.1188,0.0857,0.3,0.2632,3.5,3.07,350.0,20.0,19.0
NC,37041,252,183.0,69.0,0.2738,0.1977,0.6923,0.0,3.5,0.0,172.0,39.0,8.0
KY,21077,168,115.0,53.0,0.3155,0.2857,1.0,0.25,3.5,0.88,147.0,2.0,4.0
AR,05023,547,400.0,147.0,0.2687,0.2867,1.0,0.8,3.49,2.79,450.0,3.0,5.0
MS,28089,2146,1874.0,272.0,0.1267,0.0792,0.2767,0.1875,3.49,2.37,1263.0,506.0,64.0
VA,51036,101,71.0,30.0,0.297,0.1569,0.5455,1.0,3.48,6.38,51.0,22.0,3.0
IL,17165,243,178.0,65.0,0.2675,0.2157,0.75,0.4,3.48,1.85,204.0,8.0,5.0
GA,13093,95,67.0,28.0,0.2947,0.1803,0.625,0.25,3.47,1.39,61.0,24.0,4.0
AR,05081,191,143.0,48.0,0.2513,0.1752,0.6071,0.0,3.47,0.0,137.0,28.0,4.0
FL,12045,527,402.0,125.0,0.2372,0.2062,0.7143,0.3077,3.46,1.49,422.0,21.0,13.0
MS,28023,209,127.0,82.0,0.3923,0.2222,0.7656,0.25,3.45,1.13,135.0,64.0,4.0
MO,29071,1675,1490.0,185.0,0.1104,0.116,0.4,0.2667,3.45,2.3,1396.0,10.0,15.0
ID,16065,397,337.0,60.0,0.1511,0.145,0.5,0.375,3.45,2.59,338.0,4.0,16.0
VA,51081,105,66.0,39.0,0.3714,0.1622,0.56,0.25,3.45,1.54,37.0,50.0,4.0
CA,06087,1626,1411.0,215.0,0.1322,0.1161,0.4,0.2222,3.44,1.91,1042.0,5.0,189.0
IN,18039,3230,2706.0,524.0,0.1622,0.1404,0.4835,0.1699,3.44,1.21,2636.0,91.0,518.0
IN,18011,1871,1679.0,192.0,0.1026,0.0812,0.2796,0.1798,3.44,2.21,1392.0,93.0,89.0
TN,47047,868,737.0,131.0,0.1509,0.0931,0.3182,0.0357,3.42,0.38,537.0,198.0,28.0
NC,37141,1895,1458.0,437.0,0.2306,0.1876,0.6414,0.4,3.42,2.13,1402.0,145.0,90.0
MO,29101,929,859.0,70.0,0.0753,0.0798,0.2727,0.2692,3.42,3.37,689.0,11.0,26.0
TX,48133,215,144.0,71.0,0.3302,0.2934,1.0,0.6571,3.41,2.24,167.0,2.0,35.0
MI,26015,1117,895.0,222.0,0.1987,0.2019,0.6875,0.2692,3.41,1.33,946.0,16.0,26.0
GA,13261,288,215.0,73.0,0.2535,0.1556,0.5287,0.1818,3.4,1.17,135.0,87.0,11.0
AK,02122,661,601.0,60.0,0.0908,0.0979,0.3333,0.0909,3.4,0.93,480.0,3.0,22.0
ME,23029,453,355.0,98.0,0.2163,0.1963,0.6667,0.3077,3.4,1.57,382.0,3.0,13.0
SC,45001,313,220.0,93.0,0.2971,0.2,0.68,0.375,3.4,1.88,220.0,50.0,8.0
MS,28143,76,29.0,47.0,0.6184,0.2222,0.7551,,3.4,,9.0,49.0,0.0
GA,13181,143,123.0,20.0,0.1399,0.113,0.3846,1.0,3.4,8.85,115.0,13.0,1.0
SD,46135,254,224.0,30.0,0.1181,0.0984,0.3333,0.2667,3.39,2.71,193.0,3.0,15.0
GA,13105,249,181.0,68.0,0.2731,0.1941,0.6579,0.3333,3.39,1.72,170.0,38.0,9.0
IA,19139,603,536.0,67.0,0.1111,0.1111,0.375,0.1791,3.38,1.61,459.0,8.0,67.0
SC,45017,237,141.0,96.0,0.4051,0.2018,0.6824,0.6364,3.38,3.15,114.0,85.0,11.0
NV,32007,789,695.0,94.0,0.1191,0.0989,0.3333,0.1606,3.37,1.62,637.0,3.0,137.0
TX,48221,1569,1205.0,364.0,0.232,0.2086,0.7037,0.4675,3.37,2.24,1184.0,27.0,154.0
GA,13199,444,340.0,104.0,0.2342,0.1473,0.494,0.0588,3.35,0.4,292.0,83.0,17.0
DC,11001,7575,6525.0,1050.0,0.1386,0.0741,0.2479,0.1397,3.35,1.88,3279.0,1670.0,451.0
MO,29175,428,354.0,74.0,0.1729,0.1384,0.4615,0.0,3.34,0.0,318.0,13.0,4.0
NC,37049,2005,1660.0,345.0,0.1721,0.134,0.4479,0.1811,3.34,1.35,1418.0,192.0,127.0
GA,13195,526,419.0,107.0,0.2034,0.1751,0.5833,0.2444,3.33,1.4,394.0,36.0,45.0
TN,47079,537,420.0,117.0,0.2179,0.1868,0.6207,0.3333,3.32,1.78,455.0,29.0,9.0
LA,22057,1444,1036.0,408.0,0.2825,0.1996,0.6622,0.3966,3.32,1.99,997.0,222.0,58.0
IL,17135,245,208.0,37.0,0.151,0.1511,0.5,0.5,3.31,3.31,225.0,2.0,4.0
MI,26017,1323,1175.0,148.0,0.1119,0.1067,0.3529,0.2857,3.31,2.68,1115.0,17.0,49.0
LA,22007,303,152.0,151.0,0.4983,0.2577,0.8487,0.3333,3.29,1.29,163.0,119.0,6.0
SC,45015,6955,5606.0,1349.0,0.194,0.1267,0.4169,0.2647,3.29,2.09,4253.0,1233.0,544.0
SC,45071,563,387.0,176.0,0.3126,0.2101,0.6903,0.3043,3.29,1.45,357.0,113.0,23.0
WV,54041,151,105.0,46.0,0.3046,0.305,1.0,0.5,3.28,1.64,141.0,1.0,2.0
VA,51119,222,189.0,33.0,0.1486,0.131,0.4286,0.0,3.27,0.0,168.0,14.0,8.0
WV,54065,341,295.0,46.0,0.1349,0.1311,0.4286,0.375,3.27,2.86,267.0,7.0,8.0
IN,18069,547,471.0,76.0,0.1389,0.1227,0.4,0.2,3.26,1.63,481.0,5.0,15.0
AR,05035,638,509.0,129.0,0.2022,0.0952,0.3106,0.2222,3.26,2.33,273.0,264.0,18.0
TX,48143,603,455.0,148.0,0.2454,0.2452,0.8,0.4267,3.26,1.74,469.0,5.0,75.0
AL,01105,86,36.0,50.0,0.5814,0.2414,0.7872,,3.26,,29.0,47.0,0.0
VT,50003,331,275.0,56.0,0.1692,0.1847,0.6,0.4444,3.25,2.41,249.0,5.0,9.0
VA,51003,1607,1449.0,158.0,0.0983,0.0812,0.2639,0.2619,3.25,3.22,1034.0,72.0,42.0
GA,13123,857,700.0,157.0,0.1832,0.1716,0.5556,0.3281,3.24,1.91,676.0,9.0,64.0
WI,55127,1616,1417.0,199.0,0.1231,0.1233,0.4,0.23,3.24,1.87,1379.0,10.0,100.0
MS,28015,110,66.0,44.0,0.4,0.2466,0.8,0.0,3.24,0.0,73.0,25.0,3.0
OK,40015,277,181.0,96.0,0.3466,0.3098,1.0,0.1667,3.23,0.54,184.0,3.0,12.0
VA,51133,295,237.0,58.0,0.1966,0.1421,0.4565,0.25,3.21,1.76,190.0,46.0,8.0
MO,29510,4143,3677.0,466.0,0.1125,0.0738,0.2366,0.1111,3.21,1.51,2345.0,541.0,171.0
NC,37063,5205,4570.0,635.0,0.122,0.081,0.2588,0.1679,3.19,2.07,2629.0,769.0,417.0
GA,13163,174,106.0,68.0,0.3908,0.1892,0.6029,0.5,3.19,2.64,74.0,68.0,4.0
VA,51147,285,190.0,95.0,0.3333,0.195,0.6196,0.125,3.18,0.64,159.0,92.0,8.0
TX,48075,51,36.0,15.0,0.2941,0.3143,1.0,0.6,3.18,1.91,35.0,1.0,10.0
GA,13253,169,112.0,57.0,0.3373,0.2136,0.6765,0.0,3.17,0.0,103.0,34.0,2.0
NC,37013,764,581.0,183.0,0.2395,0.1715,0.5429,0.4815,3.17,2.81,554.0,105.0,27.0
VA,51095,1337,1232.0,105.0,0.0785,0.0634,0.2,0.1,3.16,1.58,915.0,115.0,50.0
